 #VirtualDetector/Det                                                            
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.10000000000000001      /  0.34999999999999998     
    transverse cuts:    9.7500000000000000E-003   1.4999999999999999E-002
    longitudinal cut:    3.5000000000000003E-002
    RF frequency (MHz):    325.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.5885E+02  0.0000E+00  0.7483E-02  0.7640E-01  0.4289E-05  0.2636E+00  0.2292E+00  0.5381E+00  0.1527E+00  0.1915E+01 -0.6891E-02  0.3873E+04  0.3296E+03  0.5696E+03  0.1340E-01  0.2973E-01  0.9691E-09  0.3768E+00 -0.6884E-08  0.2823E-01 -0.1334E-01  0.2180E-02 -0.4728E-01 -0.7538E-01  0.6880E-01  0.2317E-01
    15  0.6305E+02  0.0000E+00  0.7206E-02  0.1016E+00  0.5166E-05  0.2398E+00  0.2273E+00  0.5406E+00  0.1436E+00  0.2648E+01  0.1218E-01  0.3848E+04  0.3157E+01  0.6946E+01  0.1147E-01  0.2903E-01  0.1301E-08  0.3872E+00  0.4175E-09  0.2754E-01 -0.1302E-01  0.1411E-02 -0.5310E-01 -0.6740E-01  0.7393E-01  0.2340E-01
    16  0.6725E+02  0.0000E+00  0.6844E-02  0.5116E-01  0.2463E-05  0.2067E+00  0.2257E+00  0.5474E+00  0.1376E+00  0.1703E+01 -0.5037E-01  0.3737E+04  0.4913E+03  0.8595E+03  0.9356E-02  0.2585E-01  0.7638E-09  0.3930E+00  0.7660E-08  0.2427E-01 -0.1286E-01  0.2389E-02 -0.6395E-01 -0.7995E-01  0.8384E-01  0.2783E-01
    17  0.7145E+02  0.0000E+00  0.6097E-02  0.1385E-01  0.4997E-06  0.1415E+00  0.2246E+00  0.5604E+00  0.1431E+00  0.6757E+00 -0.2135E-01  0.3437E+04  0.6271E+03  0.1091E+04  0.5418E-02  0.2175E-01  0.2460E-09  0.4483E+00  0.1363E-08  0.1996E-01 -0.1242E-01  0.4095E-02 -0.9933E-01 -0.1043E+00  0.1036E+00  0.3643E-01
    18  0.7565E+02  0.0000E+00  0.5829E-02  0.1298E-01  0.4379E-06  0.1154E+00  0.2239E+00  0.5688E+00  0.1412E+00  0.7308E+00 -0.3158E-01  0.3408E+04  0.6984E+03  0.1153E+04  0.4268E-02  0.2064E-01  0.2472E-09  0.4908E+00  0.7943E-09  0.1855E-01 -0.1295E-01  0.3788E-02 -0.1128E+00 -0.1061E+00  0.1161E+00  0.4138E-01
    19  0.7985E+02  0.0000E+00  0.5597E-02  0.1227E-01  0.3772E-06  0.9211E-01  0.2225E+00  0.5631E+00  0.1341E+00  0.7030E+00 -0.1056E-01  0.3387E+04  0.7420E+03  0.1256E+04  0.3166E-02  0.2030E-01  0.2366E-09  0.4863E+00  0.6072E-09  0.1830E-01 -0.1301E-01  0.3431E-02 -0.1045E+00 -0.1174E+00  0.1118E+00  0.4101E-01
    20  0.8405E+02  0.0000E+00  0.5392E-02  0.1130E-01  0.3132E-06  0.7902E-01  0.2211E+00  0.5628E+00  0.1374E+00  0.7037E+00 -0.2966E-01  0.3347E+04  0.7805E+03  0.1297E+04  0.2416E-02  0.1907E-01  0.2284E-09  0.4240E+00  0.7983E-09  0.1748E-01 -0.1243E-01  0.3568E-02 -0.1138E+00 -0.1242E+00  0.1053E+00  0.4123E-01
    21  0.8825E+02  0.0000E+00  0.5083E-02  0.1033E-01  0.2551E-06  0.6416E-01  0.2200E+00  0.5659E+00  0.1315E+00  0.6872E+00 -0.4867E-02  0.3308E+04  0.8386E+03  0.1368E+04  0.1710E-02  0.1834E-01  0.2168E-09  0.4375E+00  0.1039E-08  0.1685E-01 -0.1120E-01  0.4225E-02 -0.1112E+00 -0.1175E+00  0.1117E+00  0.3925E-01
    22  0.9245E+02  0.0000E+00  0.4841E-02  0.9669E-02  0.2177E-06  0.6826E-01  0.2191E+00  0.5786E+00  0.1561E+00  0.6674E+00 -0.2419E-01  0.3278E+04  0.8980E+03  0.1447E+04  0.1850E-02  0.1793E-01  0.2070E-09  0.4435E+00  0.8090E-09  0.1650E-01 -0.1104E-01  0.4842E-02 -0.1029E+00 -0.1256E+00  0.1121E+00  0.4064E-01
    23  0.9665E+02  0.0000E+00  0.4474E-02  0.7972E-02  0.1546E-06  0.3898E-01  0.2181E+00  0.5695E+00  0.1670E+00  0.6089E+00  0.6076E-02  0.3125E+04  0.9656E+03  0.1547E+04  0.7009E-03  0.1712E-01  0.1799E-09  0.4826E+00 -0.5812E-09  0.1563E-01 -0.1162E-01  0.5274E-02 -0.1091E+00 -0.1089E+00  0.1105E+00  0.4564E-01
    24  0.1008E+03  0.0000E+00  0.4672E-02  0.6711E-01  0.1473E-05  0.6833E-01  0.2176E+00  0.5709E+00  0.1309E+00  0.4094E+01 -0.9022E-02  0.3354E+04  0.8209E+01  0.1452E+02  0.1756E-02  0.1902E-01  0.1356E-08  0.4623E+00 -0.3453E-08  0.1746E-01 -0.1173E-01  0.4113E-02 -0.6858E-01 -0.9528E-01  0.1013E+00  0.3768E-01
    25  0.1050E+03  0.0000E+00  0.4203E-02  0.7982E-02  0.1376E-06  0.4474E-01  0.2164E+00  0.5795E+00  0.1774E+00  0.6442E+00 -0.1454E-01  0.3124E+04  0.1077E+04  0.1675E+04  0.8210E-03  0.1633E-01  0.1871E-09  0.4478E+00  0.1502E-08  0.1513E-01 -0.1016E-01  0.5360E-02 -0.1192E+00 -0.1111E+00  0.1210E+00  0.4305E-01
    26  0.1092E+03  0.0000E+00  0.4068E-02  0.8207E-02  0.1339E-06  0.3306E-01  0.2159E+00  0.5832E+00  0.1580E+00  0.6659E+00  0.2003E-01  0.3199E+04  0.1125E+04  0.1735E+04  0.4190E-03  0.1648E-01  0.1925E-09  0.5067E+00  0.9888E-09  0.1506E-01 -0.1042E-01  0.5335E-02 -0.1002E+00 -0.1105E+00  0.1179E+00  0.4313E-01
    27  0.1135E+03  0.0000E+00  0.3930E-02  0.7923E-02  0.1214E-06  0.2509E-01  0.2155E+00  0.5779E+00  0.1733E+00  0.6757E+00 -0.3990E-01  0.3183E+04  0.1189E+04  0.1788E+04  0.2480E-03  0.1627E-01  0.1904E-09  0.5328E+00  0.4973E-09  0.1468E-01 -0.1013E-01  0.5326E-02 -0.1033E+00 -0.1079E+00  0.1166E+00  0.4244E-01
    28  0.1177E+03  0.0000E+00  0.3801E-02  0.7666E-02  0.1078E-06  0.2430E-01  0.2145E+00  0.5670E+00  0.1379E+00  0.6743E+00  0.9484E-02  0.3173E+04  0.1232E+04  0.1861E+04  0.2127E-03  0.1556E-01  0.1876E-09  0.4608E+00  0.1931E-09  0.1440E-01 -0.1074E-01  0.5810E-02 -0.9924E-01 -0.9683E-01  0.1125E+00  0.4810E-01
    29  0.1218E+03  0.0000E+00  0.3676E-02  0.7494E-02  0.9787E-07  0.3169E-01  0.2139E+00  0.5723E+00  0.1658E+00  0.6626E+00 -0.9586E-02  0.3161E+04  0.1282E+04  0.1893E+04  0.4298E-03  0.1534E-01  0.1847E-09  0.4405E+00  0.9739E-09  0.1433E-01 -0.1069E-01  0.5644E-02 -0.1054E+00 -0.9711E-01  0.1095E+00  0.4776E-01
    30  0.1260E+03  0.0000E+00  0.3569E-02  0.7329E-02  0.9224E-07  0.4410E-01  0.2136E+00  0.5785E+00  0.1441E+00  0.6668E+00 -0.2004E-02  0.3151E+04  0.1309E+04  0.1933E+04  0.9460E-03  0.1538E-01  0.1837E-09  0.4979E+00  0.1281E-08  0.1412E-01 -0.6716E-02  0.6950E-03 -0.1043E+00 -0.1124E+00  0.1204E+00  0.2420E-01
    31  0.1302E+03  0.0000E+00  0.3321E-02  0.6792E-02  0.7463E-07  0.2748E+00  0.2137E+00  0.7212E+00  0.2169E+00  0.6066E+00  0.2127E-01  0.3060E+04  0.1398E+04  0.2013E+04  0.6431E-02  0.1567E-01  0.1682E-09  0.5640E+00 -0.7292E-09  0.1425E-01 -0.2067E-02 -0.2324E-02 -0.5642E-01 -0.1408E+00  0.1304E+00  0.1812E-01
