 #VirtualDetector/Det                                                            
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.5885E+02  0.0000E+00  0.9714E-02  0.3691E+02  0.3753E-02  0.3778E+00  0.3099E+00  0.7142E+00  0.1093E+00  0.2121E+02 -0.3067E+00  0.4669E+04  0.4669E+04  0.4669E+04  0.2546E-01  0.2552E+00  0.5963E-07  0.1859E+01 -0.2995E-06  0.2363E+00 -0.1064E-01  0.7677E-03  0.3512E-02 -0.3068E-02  0.1306E-01  0.2594E-02
    15  0.6305E+02  0.0000E+00  0.9130E-02  0.3451E+02  0.3232E-02  0.3544E+00  0.3027E+00  0.7091E+00  0.1119E+00  0.2093E+02 -0.2535E+00  0.4566E+04  0.4566E+04  0.4566E+04  0.2235E-01  0.2470E+00  0.5999E-07  0.2966E+01 -0.6019E-06  0.2237E+00 -0.1100E-01  0.7297E-03  0.2541E-02 -0.1002E-02  0.1262E-01  0.2587E-02
    16  0.6725E+02  0.0000E+00  0.8824E-02  0.3389E+02  0.2974E-02  0.3244E+00  0.2970E+00  0.6947E+00  0.1132E+00  0.2106E+02 -0.2524E+00  0.4446E+04  0.4446E+04  0.4446E+04  0.1986E-01  0.2413E+00  0.6030E-07  0.2836E+01 -0.5879E-06  0.2184E+00 -0.1042E-01  0.1397E-02  0.2600E-02 -0.2671E-02  0.1296E-01  0.2580E-02
    17  0.7145E+02  0.0000E+00  0.8451E-02  0.3259E+02  0.2665E-02  0.3082E+00  0.2915E+00  0.6927E+00  0.1148E+00  0.2143E+02 -0.2382E+00  0.4325E+04  0.4325E+04  0.4325E+04  0.1797E-01  0.2343E+00  0.6057E-07  0.3008E+01 -0.6254E-06  0.2091E+00 -0.1044E-01  0.1508E-02  0.3084E-02 -0.4687E-02  0.1350E-01  0.2588E-02
    18  0.7565E+02  0.0000E+00  0.8161E-02  0.3436E+02  0.2409E-02  0.2848E+00  0.2863E+00  0.6735E+00  0.1186E+00  0.2182E+02 -0.3230E+00  0.4215E+04  0.4215E+04  0.4215E+04  0.1616E-01  0.2257E+00  0.6079E-07  0.1237E+01 -0.2550E-06  0.2152E+00 -0.1080E-01  0.2933E-02  0.3124E-02 -0.2311E-02  0.1393E-01  0.2713E-02
    19  0.7985E+02  0.0000E+00  0.7694E-02  0.3092E+02  0.2095E-02  0.2640E+00  0.2811E+00  0.6665E+00  0.1096E+00  0.2167E+02 -0.2249E+00  0.4126E+04  0.4126E+04  0.4126E+04  0.1403E-01  0.2208E+00  0.6094E-07  0.3055E+01 -0.7030E-06  0.1975E+00 -0.1083E-01  0.1655E-02  0.3751E-02 -0.3853E-02  0.1319E-01  0.2532E-02
    20  0.8405E+02  0.0000E+00  0.7434E-02  0.3048E+02  0.1929E-02  0.2543E+00  0.2764E+00  0.6664E+00  0.1148E+00  0.2176E+02 -0.2194E+00  0.4043E+04  0.4043E+04  0.4043E+04  0.1286E-01  0.2164E+00  0.6114E-07  0.3013E+01 -0.6969E-06  0.1934E+00 -0.9810E-02  0.2263E-02  0.5202E-02 -0.3019E-02  0.1354E-01  0.2507E-02
    21  0.8825E+02  0.0000E+00  0.6812E-02  0.2885E+02  0.1545E-02  0.2326E+00  0.2697E+00  0.6595E+00  0.9749E-01  0.2222E+02 -0.2088E+00  0.3934E+04  0.3934E+04  0.3934E+04  0.1080E-01  0.2055E+00  0.6113E-07  0.3302E+01 -0.7997E-06  0.1829E+00 -0.1026E-01  0.2608E-02  0.3149E-02 -0.2447E-02  0.1264E-01  0.2309E-02
    22  0.9245E+02  0.0000E+00  0.6422E-02  0.2807E+02  0.1335E-02  0.2286E+00  0.2642E+00  0.6591E+00  0.1197E+00  0.2224E+02 -0.1989E+00  0.3853E+04  0.3853E+04  0.3853E+04  0.1015E-01  0.1992E+00  0.6112E-07  0.3383E+01 -0.8518E-06  0.1777E+00 -0.1046E-01  0.3643E-02  0.1902E-02 -0.1912E-02  0.1263E-01  0.2361E-02
    23  0.9665E+02  0.0000E+00  0.6085E-02  0.2734E+02  0.1164E-02  0.1966E+00  0.2604E+00  0.6398E+00  0.1324E+00  0.2225E+02 -0.1944E+00  0.3780E+04  0.3780E+04  0.3780E+04  0.8138E-02  0.1940E+00  0.6094E-07  0.3360E+01 -0.8790E-06  0.1735E+00 -0.1005E-01  0.2728E-02  0.2082E-02 -0.3070E-02  0.1246E-01  0.2271E-02
    24  0.1008E+03  0.0000E+00  0.5807E-02  0.2642E+02  0.1036E-02  0.1846E+00  0.2568E+00  0.6344E+00  0.1123E+00  0.2256E+02 -0.1820E+00  0.3708E+04  0.3708E+04  0.3708E+04  0.7246E-02  0.1888E+00  0.6088E-07  0.3503E+01 -0.9129E-06  0.1675E+00 -0.1077E-01  0.3706E-02  0.1296E-02 -0.1673E-02  0.1129E-01  0.2043E-02
    25  0.1050E+03  0.0000E+00  0.5604E-02  0.2517E+02  0.9272E-03  0.1898E+00  0.2529E+00  0.6385E+00  0.1533E+00  0.2326E+02 -0.1752E+00  0.3634E+04  0.3634E+04  0.3634E+04  0.7074E-02  0.1815E+00  0.6071E-07  0.3480E+01 -0.8847E-06  0.1593E+00 -0.9840E-02  0.3295E-02  0.1085E-02 -0.3264E-02  0.1298E-01  0.2357E-02
    26  0.1092E+03  0.0000E+00  0.5247E-02  0.2332E+02  0.7517E-03  0.1670E+00  0.2486E+00  0.6294E+00  0.1264E+00  0.2472E+02 -0.1844E+00  0.3581E+04  0.3581E+04  0.3581E+04  0.5792E-02  0.1681E+00  0.6061E-07  0.3482E+01 -0.9166E-06  0.1473E+00 -0.9470E-02  0.4363E-02  0.1830E-02 -0.2581E-02  0.1178E-01  0.2068E-02
    27  0.1135E+03  0.0000E+00  0.4989E-02  0.2261E+02  0.6616E-03  0.1572E+00  0.2456E+00  0.6265E+00  0.1520E+00  0.2502E+02 -0.1677E+00  0.3533E+04  0.3533E+04  0.3533E+04  0.5160E-02  0.1638E+00  0.6062E-07  0.3674E+01 -0.9855E-06  0.1426E+00 -0.9271E-02  0.4095E-02  0.3819E-02 -0.2491E-02  0.1359E-01  0.2424E-02
    28  0.1177E+03  0.0000E+00  0.4770E-02  0.2184E+02  0.5719E-03  0.1503E+00  0.2415E+00  0.6129E+00  0.1314E+00  0.2549E+02 -0.1728E+00  0.3493E+04  0.3493E+04  0.3493E+04  0.4742E-02  0.1547E+00  0.6049E-07  0.3372E+01 -0.9871E-06  0.1375E+00 -0.9900E-02  0.5093E-02  0.2327E-02 -0.1402E-02  0.1228E-01  0.2207E-02
    29  0.1218E+03  0.0000E+00  0.4561E-02  0.2121E+02  0.5109E-03  0.1455E+00  0.2389E+00  0.6138E+00  0.1591E+00  0.2578E+02 -0.1600E+00  0.3453E+04  0.3453E+04  0.3453E+04  0.4362E-02  0.1507E+00  0.6031E-07  0.3471E+01 -0.1018E-05  0.1335E+00 -0.1013E-01  0.4489E-02  0.1328E-02 -0.3727E-02  0.1143E-01  0.2105E-02
    30  0.1260E+03  0.0000E+00  0.4398E-02  0.2049E+02  0.4569E-03  0.1429E+00  0.2364E+00  0.6058E+00  0.1143E+00  0.2625E+02 -0.1535E+00  0.3415E+04  0.3415E+04  0.3415E+04  0.4364E-02  0.1456E+00  0.6011E-07  0.3367E+01 -0.1002E-05  0.1290E+00 -0.6304E-02 -0.4517E-03  0.1088E-02 -0.5832E-02  0.1221E-01  0.1794E-02
    31  0.1302E+03  0.0000E+00  0.4103E-02  0.1963E+02  0.3868E-03  0.3564E+00  0.2350E+00  0.7494E+00  0.1665E+00  0.2704E+02 -0.1474E+00  0.3378E+04  0.3378E+04  0.3378E+04  0.1031E-01  0.1414E+00  0.5994E-07  0.3664E+01 -0.1074E-05  0.1238E+00 -0.1441E-02 -0.3100E-02  0.2786E-02 -0.3590E-02  0.1340E-01  0.2102E-02
