# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
19500.0 10278 2.766 61.044 -11.785 62.018 24.86 25.22 15.44 821.4 847.8 834.6 0.1537 0.1538 0.1538 365.9
19600.0 10280 3.610 59.165 -11.167 59.927 19.91 20.21 15.28 783.9 804.2 794 0.1602 0.1622 0.1612 366
19700.0 10277 3.296 57.806 -10.611 58.375 15.86 16.07 15.1 759.9 774.9 767.4 0.05718 0.04894 0.05306 365.9
19800.0 10274 1.813 57.962 -10.498 58.785 15.23 15.43 15.08 763.3 785.1 774.2 -0.0857 -0.1063 -0.09602 365.1
19900.0 10266 -0.991 60.372 -10.062 60.980 18.77 18.8 15.33 810.6 827 818.8 -0.188 -0.1997 -0.1938 364.5
20000.0 10237 -3.932 61.532 -8.595 63.527 23.17 23.58 15.48 831.5 886.3 858.9 -0.1653 -0.155 -0.1602 364.8
20100.0 10232 -6.376 62.351 -5.741 63.203 25.23 25.55 15.33 861.1 884.8 872.9 -0.02324 0.0485 0.01263 365.2
20200.0 10227 -7.428 61.383 -2.316 61.282 22.69 23.17 15.33 834.9 832.2 833.5 0.1264 0.1846 0.1555 364.6
20300.0 10231 -7.138 59.641 0.751 59.110 18.28 18.63 15.28 794.4 780.3 787.4 0.1532 0.1626 0.1579 364.6
20400.0 10229 -6.433 58.545 2.856 57.865 15.44 15.41 15.2 771.3 753.5 762.4 0.04936 0.03388 0.04162 364.5
20500.0 10231 -5.966 59.098 4.368 58.537 16.26 16.02 15.22 781.6 766.8 774.2 -0.09777 -0.1203 -0.109 363.3
20600.0 10217 -6.295 61.782 5.326 60.895 20.72 20.43 15.58 830.2 806.5 818.3 -0.1935 -0.218 -0.2057 362.9
20700.0 10169 -7.458 63.177 5.576 63.081 25.62 25.36 15.84 852.5 849.9 851.2 -0.1535 -0.1789 -0.1662 363.6
20800.0 10155 -8.763 62.598 5.298 62.830 27.35 27.14 15.19 872.1 878.6 875.4 -0.01336 0.01175 -0.0008025 364.2
20900.0 10151 -9.737 61.010 4.324 61.152 24.44 24.69 15 839.7 843.6 841.6 0.1334 0.1744 0.1539 363.5
21000.0 10155 -9.969 59.471 3.589 58.918 19.59 19.78 15.01 801.1 786.3 793.7 0.151 0.1705 0.1607 363.6
21100.0 10154 -9.767 58.278 3.811 57.646 15.7 15.85 14.96 774.9 758.1 766.5 0.0559 0.04071 0.0483 363.6
21200.0 10151 -9.172 58.591 5.061 58.283 15.15 15.35 14.97 780.1 771.9 776 -0.08165 -0.1241 -0.1029 362.5
21300.0 10145 -7.819 60.367 7.064 60.770 18.61 18.79 15.09 817.1 828.1 822.6 -0.1682 -0.2354 -0.2018 361.7
21400.0 10117 -5.362 61.718 9.083 62.898 23.42 23.23 15.05 853.8 886.8 870.3 -0.1355 -0.1887 -0.1621 362.1
21500.0 10105 -1.695 62.481 9.864 62.943 25.6 25.09 15.07 873.2 886.2 879.7 0.01423 0.01813 0.01618 362.6
21600.0 10098 1.860 60.608 9.118 61.166 22.94 22.47 14.9 831.7 847.1 839.4 0.1374 0.1966 0.167 362
21700.0 10100 4.425 59.078 7.171 59.343 18.33 18.3 15.05 786 793.1 789.6 0.1369 0.1818 0.1593 362.1
21800.0 10097 5.719 58.127 5.474 58.084 15.19 15.3 14.99 766.1 765 765.6 0.03105 0.05171 0.04138 362
21900.0 10096 6.520 59.130 4.485 59.055 15.89 16.09 15.11 783.4 781.4 782.4 -0.1109 -0.1252 -0.1181 360.8
22000.0 10078 6.622 60.645 4.082 61.589 20.01 20.5 15.2 815 840.6 827.8 -0.1848 -0.2326 -0.2087 360.4
22100.0 10042 7.113 61.833 4.361 63.260 24.71 25.35 15.18 846.2 885.7 865.9 -0.1254 -0.1952 -0.1603 361
22200.0 10029 7.230 61.948 5.135 62.908 26.66 27.07 14.82 869.6 896.7 883.1 0.04112 -0.004389 0.01836 361.6
22300.0 10028 6.957 60.697 5.877 61.772 24.1 24.64 14.96 827.2 856.7 841.9 0.1819 0.1483 0.1651 360.9
22400.0 10025 6.678 58.983 6.116 59.176 19.26 19.54 14.8 794 799.2 796.6 0.1796 0.1723 0.176 361
22500.0 10025 7.052 57.830 5.552 57.874 15.47 15.65 14.78 765.9 767.1 766.5 0.06146 0.05872 0.06009 360.8
22600.0 10017 8.045 58.361 4.273 58.107 15.06 15.13 14.79 777.5 770.8 774.1 -0.0971 -0.08011 -0.0886 359.8
22700.0 10010 9.044 61.321 2.037 59.851 18.75 18.64 15.03 840.5 800.7 820.6 -0.201 -0.1716 -0.1863 359.2
22800.0 9971 9.856 62.668 -1.163 61.388 23.11 23.01 15.04 875.5 840.1 857.8 -0.1626 -0.1344 -0.1485 359.8
22900.0 9958 8.701 62.161 -4.879 62.054 25.01 24.83 15.1 857.5 854.6 856 0.009964 0.03615 0.02306 360.4
23000.0 9944 5.699 60.633 -7.549 60.876 22.45 22.61 15.08 818.3 824.9 821.6 0.1446 0.173 0.1588 360
23100.0 9938 2.768 58.199 -8.233 58.284 17.88 17.97 14.7 777.4 779.7 778.5 0.1607 0.1659 0.1633 360.3
23200.0 9938 0.801 57.154 -8.131 57.463 14.95 15.01 14.71 751 759.1 755.1 0.0543 0.03101 0.04266 360.1
23300.0 9929 -0.305 57.855 -8.065 58.428 15.53 15.64 14.8 762.3 777.5 769.9 -0.09098 -0.1362 -0.1136 359.1
23400.0 9913 -0.645 59.552 -8.447 60.734 19.58 19.73 14.91 797.8 829.8 813.8 -0.1554 -0.255 -0.2052 358.7
23500.0 9875 0.215 60.507 -8.970 62.618 23.99 24.36 14.86 824.3 882.9 853.6 -0.119 -0.2069 -0.1629 359.2
23600.0 9870 1.586 61.043 -9.114 63.532 26.25 26.46 15.03 828.2 897.1 862.6 0.01641 -0.009881 0.003264 359.6
23700.0 9856 2.677 59.296 -8.863 61.403 23.43 23.82 14.68 801.6 859.6 830.6 0.1367 0.1785 0.1576 359.2
23800.0 9854 3.032 57.560 -8.240 58.549 18.7 18.87 14.46 770.5 797.2 783.9 0.1363 0.1932 0.1648 359.4
23900.0 9857 2.306 56.791 -7.904 57.446 15.1 15.29 14.48 750.9 768.3 759.6 0.02627 0.06547 0.04587 359.2
24000.0 9854 0.753 57.600 -7.712 57.979 14.8 14.93 14.54 767 777.1 772 -0.1105 -0.09686 -0.1037 358.1
24100.0 9841 -1.680 59.920 -7.339 59.886 18.36 18.26 14.64 820.7 819.8 820.2 -0.198 -0.1975 -0.1977 357.6
24200.0 9801 -5.011 61.535 -5.828 62.099 22.82 22.78 14.85 851.5 867.1 859.3 -0.1582 -0.1616 -0.1599 358.3
24300.0 9782 -7.232 61.150 -3.030 61.600 24.43 24.42 14.5 861.5 874.2 867.8 -0.001273 0.0256 0.01216 359
24400.0 9777 -7.887 60.099 0.369 60.527 22.18 22.22 14.68 822.5 834.3 828.4 0.1231 0.1754 0.1492 358.4
24500.0 9772 -7.316 58.590 3.013 58.195 17.81 17.79 14.54 793.4 782.7 788 0.1234 0.1857 0.1545 358.7
24600.0 9773 -6.534 57.334 4.886 57.074 14.65 14.79 14.43 767.3 760.4 763.8 0.02114 0.05893 0.04003 358.6
24700.0 9766 -6.267 58.018 6.011 57.569 15.11 15.29 14.44 782.6 770.5 776.6 -0.1148 -0.1003 -0.1076 357.5
24800.0 9745 -6.694 59.911 6.716 59.271 19.05 19.21 14.52 825.9 808.3 817.1 -0.1968 -0.2001 -0.1985 357.1
24900.0 9714 -8.033 61.248 6.830 60.666 23.46 23.79 14.5 862 845.7 853.8 -0.15 -0.1636 -0.1568 357.5
25000.0 9704 -9.503 61.304 5.853 61.355 25.16 25.98 14.51 861.9 863.4 862.7 0.03332 -0.0176 0.00786 358.1
25100.0 9697 -10.364 60.141 4.108 59.874 23.01 23.33 14.4 836.6 829.1 832.9 0.1837 0.1178 0.1507 357.5
25200.0 9693 -10.254 58.238 3.127 58.287 18.5 18.7 14.41 788 789.4 788.7 0.1864 0.1232 0.1548 357.8
25300.0 9693 -9.748 57.357 3.201 57.565 15.06 15.07 14.39 767.7 773.3 770.5 0.06009 0.02156 0.04083 357.6
25400.0 9689 -8.748 57.299 4.247 57.391 14.56 14.59 14.23 772.2 774.7 773.5 -0.09631 -0.1106 -0.1035 356.5
25500.0 9674 -7.281 58.901 6.039 59.608 17.73 18.11 14.34 806.3 825.7 816 -0.1892 -0.2038 -0.1965 356
25600.0 9645 -4.671 60.067 7.681 60.729 21.9 22.32 14.14 848.1 866.9 857.5 -0.1551 -0.1591 -0.1571 356.5
25700.0 9631 -1.216 60.471 8.169 61.552 23.84 24.41 14.24 853.4 884.1 868.7 0.007256 0.0007145 0.003985 357.2
25800.0 9626 1.930 59.237 7.136 60.338 21.78 21.97 14.24 819.4 850.1 834.8 0.1435 0.1535 0.1485 356.6
25900.0 9624 3.964 57.570 5.331 58.490 17.51 17.6 14.18 780.9 806 793.4 0.1516 0.1625 0.157 356.8
26000.0 9626 5.238 56.817 3.703 57.518 14.52 14.53 14.2 761.4 780.3 770.9 0.04456 0.04077 0.04267 356.6
26100.0 9616 5.929 57.056 2.590 57.951 14.89 14.91 14.18 766.6 790.8 778.7 -0.08035 -0.1192 -0.09976 355.7
26200.0 9604 6.905 58.602 2.118 59.922 18.72 18.86 14.22 802.4 839 820.7 -0.1554 -0.2217 -0.1886 355.1
26300.0 9572 7.764 60.141 2.631 61.471 23.26 23.43 14.21 843.2 880.9 862.1 -0.1277 -0.1729 -0.1503 355.6
26400.0 9560 7.987 60.019 3.868 61.114 24.89 25.09 13.89 858.8 890.4 874.6 0.04248 0.003526 0.02301 356.1
26500.0 9557 7.926 58.866 5.193 59.825 22.56 22.72 13.96 822.4 849.4 835.9 0.174 0.1489 0.1614 355.4
26600.0 9562 7.457 58.277 5.869 58.320 18.56 18.28 14.26 792.9 794.1 793.5 0.1551 0.1565 0.1558 355.5
26700.0 9558 7.578 56.536 5.936 57.134 14.76 14.64 14.06 759.7 775.8 767.8 0.04757 0.05332 0.05044 355.7
26800.0 9550 8.281 56.917 5.011 57.510 14.47 14.35 14.05 768.4 784.5 776.4 -0.1104 -0.08109 -0.09575 354.8
26900.0 9542 9.275 58.961 3.133 59.444 17.83 17.85 14.21 811.1 824.5 817.8 -0.2203 -0.1633 -0.1918 354.2
27000.0 9517 9.699 60.375 -0.003 60.364 21.85 22.22 14.13 852.6 852.3 852.4 -0.1843 -0.1087 -0.1465 354.5
27100.0 9505 8.725 61.435 -3.154 60.856 23.84 24.26 14.45 862.8 846.6 854.7 -0.02812 0.05291 0.01239 355.1
27200.0 9499 6.425 60.128 -5.529 59.230 21.36 22.04 14.28 836.8 812 824.4 0.14 0.1638 0.1519 354.4
27300.0 9503 4.221 57.830 -6.576 57.420 17.11 17.68 14.07 789 777.9 783.5 0.1714 0.138 0.1547 354.5
27400.0 9498 2.380 56.574 -6.839 56.219 14.28 14.32 13.97 763.1 753.5 758.3 0.06404 0.01977 0.0419 354.6
27500.0 9496 1.264 57.082 -6.871 57.087 14.76 14.61 14 772.1 772.2 772.2 -0.08126 -0.1373 -0.1093 353.5
27600.0 9479 0.846 58.167 -7.061 59.884 18.41 18.55 14.12 791.1 838.5 814.8 -0.1621 -0.2388 -0.2004 352.9
27700.0 9446 1.090 59.786 -7.260 60.892 22.99 22.68 13.95 844 875.6 859.8 -0.1472 -0.1662 -0.1567 353.5
27800.0 9433 1.721 59.704 -7.589 61.462 24.6 24.69 13.84 848.1 898.8 873.4 -0.01034 0.03368 0.01167 354
27900.0 9430 2.334 58.840 -7.520 59.336 22.32 22.08 13.65 835.5 849.7 842.6 0.1388 0.2027 0.1708 353.3
28000.0 9432 2.543 57.527 -7.509 57.641 17.87 17.78 13.79 794.8 797.9 796.3 0.1529 0.1946 0.1737 353.6
28100.0 9429 2.000 56.465 -7.589 56.445 14.31 14.36 13.71 772.2 771.6 771.9 0.06199 0.07185 0.06692 353.5
28200.0 9426 0.630 56.757 -7.914 56.800 14.12 14.1 13.73 777 778.2 777.6 -0.06722 -0.09135 -0.07928 352.5
28300.0 9412 -1.607 58.407 -8.087 58.288 17.57 17.25 13.79 815.2 811.9 813.5 -0.1503 -0.1913 -0.1708 351.9
28400.0 9386 -4.399 60.450 -7.212 59.523 22.14 21.13 13.91 863.2 836.9 850 -0.1266 -0.147 -0.1368 352.3
28500.0 9381 -6.849 59.697 -4.852 60.102 23.63 22.97 13.7 854.2 865.8 860 0.01759 0.04417 0.03088 352.8
28600.0 9380 -7.790 58.600 -2.118 59.531 21.18 21.38 13.93 809.4 835.4 822.4 0.1352 0.1963 0.1658 352
28700.0 9382 -7.861 57.278 0.462 57.386 17.04 17.21 13.87 780.1 783.1 781.6 0.1447 0.1935 0.1691 352.1
28800.0 9380 -7.490 56.027 2.268 55.237 13.98 13.93 13.62 762 740.7 751.3 0.05028 0.08342 0.06685 352.1
28900.0 9379 -7.369 56.355 3.251 55.376 14.23 14.22 13.61 769.3 742.8 756 -0.08702 -0.0747 -0.08086 351
29000.0 9366 -7.842 57.275 3.655 56.765 17.48 17.68 13.54 795.2 781.1 788.2 -0.1658 -0.1734 -0.1696 350.4
29100.0 9347 -8.782 58.813 3.361 58.069 21.63 21.77 13.37 845.7 824.5 835.1 -0.1287 -0.1521 -0.1404 350.6
29200.0 9339 -9.691 59.251 2.333 58.649 23.44 23.62 13.36 858.7 841.4 850.1 0.02659 -0.00196 0.01231 351.2
29300.0 9336 -10.085 58.168 1.070 57.636 21.3 21.48 13.4 825.5 810.4 817.9 0.1807 0.1339 0.1573 350.5
29400.0 9334 -9.864 56.305 0.359 56.069 17.12 17.21 13.4 778.1 771.6 774.9 0.1851 0.1389 0.162 350.9
29500.0 9327 -9.459 55.137 0.649 55.129 13.86 13.94 13.35 750.9 750.7 750.8 0.06807 0.03667 0.05237 350.9
29600.0 9326 -8.989 55.628 1.917 55.677 13.7 13.85 13.4 759.1 760.4 759.7 -0.08371 -0.1128 -0.09827 349.8
29700.0 9323 -7.938 57.251 4.035 57.944 16.94 17.2 13.53 791.6 810.9 801.3 -0.1672 -0.2205 -0.1938 349.1
29800.0 9309 -5.812 58.835 6.212 60.741 21.41 21.64 13.83 814.4 868 841.2 -0.1288 -0.1791 -0.154 349.1
29900.0 9292 -2.643 58.551 7.207 59.992 23.11 22.87 13.3 839.3 881.1 860.2 0.01607 0.01802 0.01705 349.8
30000.0 9286 0.499 57.666 6.784 58.818 20.95 20.83 13.35 811.5 844.2 827.8 0.1383 0.2018 0.17 349.2
30100.0 9281 2.697 55.914 5.471 56.879 16.73 16.7 13.39 764.6 791.3 777.9 0.1574 0.2013 0.1794 349.4
30200.0 9277 4.047 54.705 4.271 55.399 13.73 13.61 13.31 738 756.8 747.4 0.05937 0.07762 0.0685 349.4
30300.0 9278 5.003 54.975 3.571 55.384 13.9 13.81 13.29 744 755.1 749.6 -0.0759 -0.08798 -0.08194 348.2
30400.0 9267 5.707 56.257 3.543 56.606 17.09 17.13 13.25 777.8 787.4 782.6 -0.1637 -0.1962 -0.18 347.5
30500.0 9254 6.235 57.684 4.399 58.473 21.21 21.36 13.17 819.6 842.2 830.9 -0.125 -0.1813 -0.1531 347.6
30600.0 9251 6.174 58.393 5.663 59.759 23.08 23.51 13.4 824.8 863.8 844.3 0.01474 -0.03027 -0.007768 348.1
30700.0 9250 5.636 58.149 6.633 58.747 21.29 21.41 13.57 807.4 824.1 815.8 0.1475 0.1199 0.1337 347.3
30800.0 9249 5.204 56.176 6.984 57.209 16.94 17.25 13.41 766.1 794.6 780.4 0.1523 0.1395 0.1459 347.5
30900.0 9249 5.330 54.826 6.686 55.996 13.6 13.92 13.24 741.2 773.2 757.2 0.04036 0.04209 0.04123 347.4
31000.0 9246 6.252 55.081 5.777 56.268 13.46 13.75 13.19 748.5 781.1 764.8 -0.1152 -0.09595 -0.1056 346.4
31100.0 9239 7.624 56.814 4.109 58.516 16.8 17.2 13.35 782.5 830.1 806.3 -0.2188 -0.1826 -0.2007 345.6
31200.0 9216 8.522 58.357 1.130 59.222 20.98 21.18 13.1 838.3 863.3 850.8 -0.1964 -0.1142 -0.1553 346
31300.0 9205 8.069 59.358 -2.202 59.476 22.86 23.2 13.12 865.8 869.3 867.6 -0.04132 0.07785 0.01827 346.6
31400.0 9199 6.306 58.624 -4.804 57.892 20.7 21.02 13.2 840.1 819.2 829.6 0.1488 0.1951 0.172 346
31500.0 9192 4.083 57.141 -6.345 56.174 16.85 16.61 13.31 795.6 768.8 782.2 0.1788 0.1801 0.1794 346.3
31600.0 9193 2.362 55.422 -6.921 55.076 13.83 13.38 13.22 755.8 746.3 751.1 0.07717 0.06364 0.0704 346.2
31700.0 9188 1.240 55.605 -7.305 55.308 13.98 13.54 13.22 758.5 750.5 754.5 -0.07168 -0.0856 -0.07864 345.2
31800.0 9178 0.945 57.155 -7.749 57.717 17.3 17.18 13.44 784.4 799.9 792.1 -0.1544 -0.1951 -0.1747 344.5
31900.0 9157 1.353 57.764 -8.324 58.994 21.15 21.19 13.23 810.9 845.8 828.4 -0.1217 -0.1595 -0.1406 344.7
32000.0 9147 2.285 58.141 -8.740 59.445 22.85 23.04 13.2 823.4 860.7 842 0.0119 0.0298 0.02085 345.4
32100.0 9141 3.352 57.038 -8.742 57.920 20.62 20.88 13.21 792.2 816.9 804.5 0.1393 0.1796 0.1594 344.7
32200.0 9133 3.767 56.260 -8.596 55.830 16.76 16.79 13.32 768.5 756.8 762.6 0.1422 0.1692 0.1557 345.1
32300.0 9133 3.400 54.509 -8.638 54.762 13.52 13.66 13.12 734 740.9 737.4 0.04024 0.04922 0.04473 345.1
32400.0 9127 1.958 54.760 -9.180 55.201 13.45 13.59 13.1 739.7 751.6 745.6 -0.1027 -0.1067 -0.1047 344.1
32500.0 9117 -0.429 56.313 -9.592 57.085 16.72 16.66 13.12 777.2 798.6 787.9 -0.2032 -0.1984 -0.2008 343.5
32600.0 9094 -3.706 57.829 -8.879 58.363 20.74 20.61 12.89 831.4 846.8 839.1 -0.193 -0.1367 -0.1649 343.7
32700.0 9085 -6.693 58.832 -6.508 58.872 22.66 22.63 12.9 859.5 860.7 860.1 -0.03615 0.05088 0.007362 344.3
32800.0 9082 -8.012 58.012 -3.292 57.440 20.62 20.47 13.01 828.7 812.4 820.5 0.1222 0.2036 0.1629 343.6
32900.0 9078 -8.010 56.459 -0.430 55.513 16.49 16.41 13.07 785.5 759.4 772.5 0.1393 0.1939 0.1666 343.9
33000.0 9078 -7.551 55.716 1.445 54.300 13.58 13.37 13.07 767.1 728.6 747.9 0.03452 0.06795 0.05124 343.9
33100.0 9072 -7.170 56.036 2.501 54.668 13.76 13.43 13.08 773.4 736.1 754.7 -0.1083 -0.08846 -0.09838 342.9
33200.0 9057 -7.496 57.698 3.109 55.911 17.08 16.63 13.08 816.2 766.4 791.3 -0.1933 -0.1808 -0.1871 342.4
33300.0 9036 -7.878 58.775 2.921 57.527 20.99 20.65 13.03 847.6 812 829.8 -0.1393 -0.1636 -0.1515 342.6
33400.0 9025 -8.655 59.336 2.224 58.410 22.87 22.51 13.24 849.7 823.4 836.6 -0.003846 0.00628 0.001217 343
33500.0 9016 -8.990 57.641 1.382 57.552 20.47 20.57 13.06 813.6 811.1 812.4 0.129 0.157 0.143 342.5
33600.0 9011 -8.899 56.350 1.177 54.846 16.35 16.31 12.86 793.7 751.9 772.8 0.1376 0.1754 0.1565 342.8
33700.0 9010 -8.768 55.596 1.719 53.751 13.27 13.27 12.83 776.3 725.6 751 0.02637 0.06302 0.04469 342.7
33800.0 9009 -8.341 56.155 3.193 53.784 13.28 13.19 12.79 791.5 726 758.7 -0.1181 -0.08541 -0.1018 341.6
33900.0 8999 -7.099 57.688 5.552 55.121 16.48 16.36 12.77 832 759.6 795.8 -0.1976 -0.1877 -0.1927 341
34000.0 8980 -4.764 59.621 7.967 57.642 20.83 20.73 13.01 869.3 812.6 841 -0.127 -0.1767 -0.1519 341.2
34100.0 8969 -1.336 59.553 9.123 58.288 22.69 22.43 12.96 869.9 833.4 851.6 0.05105 -0.01929 0.01588 341.9
34200.0 8964 2.196 58.092 8.618 57.250 20.65 20.17 12.9 832.4 808.5 820.4 0.1955 0.1382 0.1669 341.2
34300.0 8957 4.618 56.027 7.196 55.396 16.56 15.94 12.8 784.7 767.1 775.9 0.1874 0.176 0.1817 341.6
34400.0 8956 6.080 54.711 5.926 54.089 13.36 12.99 12.75 753.6 736.6 745.1 0.065 0.07809 0.07155 341.5
34500.0 8955 6.980 54.872 5.182 53.961 13.18 13.17 12.72 757.5 732.5 745 -0.08075 -0.07484 -0.07779 340.4
34600.0 8951 7.656 56.334 5.251 55.508 16.19 16.51 12.77 791 767.9 779.5 -0.1591 -0.1918 -0.1754 339.7
34700.0 8934 7.801 57.284 6.046 56.932 19.93 20.36 12.59 827.1 817 822 -0.09752 -0.1842 -0.1409 339.8
34800.0 8928 7.331 57.276 7.188 57.931 21.7 22 12.55 828.5 847.5 838 0.06313 -0.04686 0.00814 340.2
34900.0 8919 6.558 56.024 8.098 57.238 19.77 19.97 12.58 791.1 825.8 808.4 0.1717 0.1292 0.1504 339.7
35000.0 8915 6.074 54.446 8.237 55.592 15.81 16.04 12.57 751.7 783.6 767.7 0.1633 0.1605 0.1619 340
35100.0 8912 6.303 53.522 7.663 54.506 12.86 13.04 12.54 730.4 757.5 743.9 0.04768 0.0616 0.05464 340
35200.0 8910 7.377 54.183 6.393 54.808 13 13.07 12.57 744.3 761.6 752.9 -0.1046 -0.08441 -0.09452 339
35300.0 8902 8.874 56.021 4.329 57.268 16.26 16.6 12.8 776.8 811.8 794.3 -0.2038 -0.1819 -0.1929 338.4
35400.0 8889 9.407 57.938 1.059 58.739 20.41 20.87 12.88 822.4 845.3 833.8 -0.1674 -0.1416 -0.1545 338.5
35500.0 8879 8.564 58.738 -2.520 59.209 22.29 22.83 13.04 834.5 848 841.2 0.005636 0.02423 0.01493 339.2
35600.0 8877 6.475 57.566 -5.360 57.156 20.17 20.49 12.84 814.2 802.6 808.4 0.1723 0.1664 0.1694 338.5
35700.0 8877 4.059 55.781 -6.597 56.465 16.36 16.64 13.08 754.3 772.9 763.6 0.186 0.1352 0.1606 338.7
35800.0 8871 2.169 54.776 -7.284 54.081 13.46 13.12 12.84 743.3 724.6 734 0.06427 0.0468 0.05553 338.6
35900.0 8868 1.082 55.261 -7.696 54.032 13.47 12.98 12.81 756 722.7 739.3 -0.09646 -0.0882 -0.09233 337.6
36000.0 8859 0.818 56.881 -8.210 55.257 16.33 16.24 12.81 797 752.2 774.6 -0.1754 -0.1845 -0.1799 336.9
36100.0 8830 1.151 57.530 -8.849 56.541 19.91 19.85 12.57 828.8 800.5 814.7 -0.115 -0.1741 -0.1445 337.3
36200.0 8822 2.210 57.940 -9.390 57.365 21.73 21.49 12.6 838.5 822 830.3 0.03558 -0.01794 0.008818 337.7
36300.0 8819 3.447 57.054 -9.407 56.482 19.85 19.49 12.66 809.4 793.2 801.3 0.1642 0.1334 0.1488 337.1
36400.0 8813 4.159 54.501 -9.141 54.861 15.68 15.58 12.4 758 768 763 0.1833 0.1513 0.1673 337.5
36500.0 8810 3.703 53.450 -9.058 54.059 12.79 12.75 12.39 731.6 748.3 739.9 0.07015 0.04329 0.05672 337.5
36600.0 8803 2.195 53.735 -9.355 54.583 12.82 12.97 12.4 736.3 759.7 748 -0.07008 -0.1133 -0.0917 336.6
36700.0 8799 -0.252 55.505 -9.513 56.574 16.16 16.33 12.51 774 804.1 789 -0.1686 -0.2194 -0.194 335.9
36800.0 8782 -3.332 57.083 -8.633 58.453 20.45 20.37 12.6 809.2 848.5 828.8 -0.1181 -0.1683 -0.1432 335.9
36900.0 8776 -6.004 58.188 -6.492 59.914 22.46 22.52 13.19 803.1 851.4 827.3 0.01002 0.02864 0.01933 336.5
37000.0 8770 -7.577 56.339 -3.148 57.320 20.07 19.97 12.63 786.3 813.9 800.1 0.1531 0.2053 0.1792 335.8
37100.0 8771 -7.734 54.784 -0.332 55.078 16.03 16.01 12.63 747.2 755.2 751.2 0.1579 0.2127 0.1853 336
37200.0 8770 -7.262 53.631 1.641 53.602 13.02 13.01 12.56 722.4 721.7 722.1 0.05814 0.08384 0.07099 335.9
37300.0 8769 -7.035 53.825 2.888 53.703 13.07 12.76 12.53 726.9 723.6 725.2 -0.08455 -0.07633 -0.08044 334.8
37400.0 8759 -7.452 55.732 3.757 54.660 16.14 15.53 12.56 773.8 744.3 759.1 -0.1791 -0.177 -0.178 334.2
37500.0 8734 -8.248 57.855 4.028 56.521 20.02 19.39 12.73 821.1 783.6 802.4 -0.1485 -0.1407 -0.1446 334.6
37600.0 8717 -9.102 56.945 3.271 56.313 21.12 20.67 12.21 830.4 812.1 821.2 0.01822 -0.002266 0.007977 335.4
37700.0 8714 -9.810 55.740 2.346 55.424 19.16 18.78 12.25 792.7 783.7 788.2 0.1509 0.1496 0.1502 334.7
37800.0 8707 -10.149 54.044 1.737 53.994 15.32 15.23 12.29 746.9 745.5 746.2 0.1506 0.153 0.1518 335.1
37900.0 8706 -10.144 53.179 2.091 52.960 12.55 12.56 12.23 728.4 722.4 725.4 0.03018 0.04517 0.03767 335.1
38000.0 8703 -9.775 53.772 3.484 53.520 12.91 12.94 12.41 731.5 724.7 728.1 -0.1229 -0.1096 -0.1163 334.2
38100.0 8692 -8.729 55.582 5.695 55.414 16.01 16.26 12.47 773.7 769.1 771.4 -0.2126 -0.2139 -0.2133 333.5
38200.0 8677 -6.530 57.473 8.032 57.523 20.14 20.45 12.59 815.2 816.7 816 -0.1474 -0.1966 -0.172 333.6
38300.0 8668 -2.972 58.122 9.411 58.863 22.22 22.36 12.99 808.5 829.2 818.8 0.03887 -0.04887 -0.004999 334.3
38400.0 8664 0.598 56.095 9.085 57.848 20.06 20.19 12.71 769.7 818.6 794.2 0.1812 0.1203 0.1507 333.6
38500.0 8663 3.002 54.518 7.543 55.123 16.27 15.72 12.52 741.7 758.2 750 0.1657 0.1701 0.1679 333.9
38600.0 8666 4.481 53.506 6.246 53.972 13.25 12.71 12.48 718.8 731.4 725.1 0.03589 0.07141 0.05365 333.8
38700.0 8656 5.194 53.400 5.407 54.013 12.87 12.6 12.38 720.2 736.8 728.5 -0.1064 -0.07839 -0.09237 332.9
38800.0 8638 5.856 54.109 5.183 55.275 15.45 15.46 12.29 742.5 774.8 758.7 -0.1862 -0.1825 -0.1844 332.5
38900.0 8625 6.128 55.435 5.656 56.590 18.87 19.07 12.02 793.9 827.3 810.6 -0.1477 -0.1466 -0.1472 332.4
39000.0 8611 5.786 55.914 6.532 57.010 20.39 20.73 11.98 810.5 842.6 826.5 -7.695e-05 0.02331 0.01161 333.1
39100.0 8611 5.064 54.957 7.143 55.896 18.41 18.92 12.04 778.6 805.4 792 0.1413 0.1638 0.1525 332.3
39200.0 8608 4.689 53.275 7.128 54.488 14.75 15.26 12.05 734.6 768.4 751.5 0.1505 0.1596 0.155 332.6
39300.0 8605 5.017 52.558 6.438 53.592 12.26 12.46 12.05 716.6 745.1 730.9 0.02765 0.05035 0.039 332.6
39400.0 8599 6.137 53.258 5.116 54.180 12.7 12.6 12.08 731.4 756.9 744.2 -0.1365 -0.09026 -0.1134 331.7
39500.0 8595 7.597 55.646 2.997 56.141 16.14 16.04 12.23 784.1 798.1 791.1 -0.257 -0.1594 -0.2082 330.9
39600.0 8567 8.566 57.047 0.242 56.274 19.81 19.75 11.88 845.5 822.8 834.1 -0.2214 -0.1041 -0.1628 331.3
39700.0 8557 7.963 57.991 -3.308 56.630 21.66 21.57 11.88 873.2 832.7 852.9 -0.02185 0.04781 0.01298 331.9
