# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
4500.0 11471 -3.252 64.094 2.312 64.526 21.23 21.31 18.41 826.2 837.3 831.8 -0.1864 -0.1904 -0.1884 395.9
4600.0 11441 -2.179 67.015 2.780 66.467 26.55 26.13 18.69 887.5 873.1 880.3 -0.192 -0.1553 -0.1737 396.4
4700.0 11424 -0.646 67.863 2.681 66.763 29.03 28.33 18.61 914 884.7 899.4 -0.06798 -0.009871 -0.03893 397
4800.0 11423 0.829 67.220 1.944 65.957 26.52 26.02 18.72 892.2 859 875.6 0.07461 0.1216 0.09809 396.4
4900.0 11426 1.862 65.645 0.977 64.352 21.6 21.14 18.56 861.6 827.9 844.8 0.08963 0.1086 0.09913 396.5
5000.0 11431 2.621 64.437 0.209 63.569 18.65 18.19 18.37 839.9 817.4 828.6 -0.008977 -0.01072 -0.009846 396.3
5100.0 11429 3.470 64.933 -0.191 64.649 20.49 20.14 18.34 851.6 844.1 847.8 -0.1475 -0.1651 -0.1563 395.8
5200.0 11420 4.459 67.322 -0.131 67.382 26.72 26.47 18.57 898 899.6 898.8 -0.2305 -0.2552 -0.2429 395.3
5300.0 11370 5.494 69.240 0.503 69.474 33.26 33.27 18.73 938.9 945.2 942 -0.1719 -0.2049 -0.1884 396.2
5400.0 11360 6.034 69.247 1.942 70.304 35.95 36.14 18.88 929.9 958.5 944.2 0.02429 -0.01605 0.00412 396.6
5500.0 11359 6.068 67.449 3.286 67.347 32.29 32.14 18.37 908.5 905.8 907.2 0.1738 0.1737 0.1738 396.1
5600.0 11363 5.824 65.192 3.852 65.049 25.55 25.71 18.32 856.8 853.1 854.9 0.179 0.1815 0.1802 396.2
5700.0 11367 5.887 63.586 3.630 63.939 19.83 20.28 18.28 820.9 830 825.4 0.06861 0.05862 0.06362 396.1
5800.0 11369 6.348 63.717 2.902 64.222 18.21 18.56 18.31 822.4 835.5 828.9 -0.07847 -0.099 -0.08874 395.4
5900.0 11358 6.774 65.223 1.289 66.255 21.56 21.8 18.39 855.1 882.3 868.7 -0.1682 -0.1961 -0.1822 395
6000.0 11317 6.820 66.214 -0.755 67.442 26.46 26.47 18.05 896.1 929.7 912.9 -0.1506 -0.1433 -0.1469 395.6
