 #VirtualDetector/det-1                                                          
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.4700E+01  0.3281E+01  0.5308E-02  0.2885E-02  0.1653E-06 -0.1117E+00  0.1961E+00  0.6843E+00  0.6738E+00  0.3053E+01 -0.2262E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5048E-02  0.9647E-02  0.3231E-09  0.2235E-01  0.8344E-08  0.9633E-02  0.1346E-01  0.5407E-02  0.1972E+00 -0.1476E+00  0.3526E+00  0.1507E+00
    15  0.5050E+01 -0.3045E-03  0.5396E-02  0.3503E-02  0.1948E-06 -0.6177E-01  0.1981E+00  0.2733E+00  0.8195E-01  0.3261E+01 -0.2069E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2971E-02  0.9647E-02  0.3542E-09  0.3659E-01  0.8935E-08  0.9613E-02  0.1242E-01 -0.4968E-02  0.2432E-01 -0.6451E-01  0.1321E+00  0.1091E+00
    16  0.5400E+01 -0.3281E+01  0.5630E-02  0.3734E-02  0.2308E-06 -0.1256E-01  0.1967E+00  0.5635E+00 -0.5200E+00  0.3419E+01 -0.2064E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.9424E-03  0.9647E-02  0.3817E-09  0.2789E-01  0.9577E-08  0.9626E-02  0.1044E-01 -0.2247E-03 -0.7533E-01  0.4999E-01 -0.2622E+00  0.2732E-01
    17  0.5750E+01 -0.3111E-03  0.5825E-02  0.3871E-02  0.2605E-06 -0.5584E-01  0.1993E+00  0.7288E+00 -0.3046E+00  0.3691E+01 -0.2094E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2836E-02  0.9647E-02  0.4042E-09  0.2043E-01  0.9706E-08  0.9634E-02  0.4452E-02 -0.2902E-03 -0.1688E+00  0.1702E-01 -0.1095E+00 -0.4453E-02
    18  0.6100E+01  0.3280E+01  0.5981E-02  0.3432E-02  0.2899E-06 -0.1098E+00  0.1955E+00  0.8448E+00  0.2862E+00  0.4509E+01 -0.2569E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5256E-02  0.9647E-02  0.4312E-09  0.3131E-01  0.1071E-07  0.9617E-02 -0.3634E-02 -0.6343E-02 -0.1323E+00  0.1528E+00  0.2477E+00  0.5903E-01
    19  0.6450E+01 -0.3091E-03  0.6288E-02  0.2980E-02  0.3440E-06 -0.4540E-01  0.1985E+00  0.4315E+00  0.2919E+00  0.5657E+01 -0.3127E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2406E-02  0.9647E-02  0.4668E-09  0.2024E-01  0.1140E-07  0.9632E-02 -0.1177E-01 -0.1559E-02 -0.4393E-02  0.8233E-01  0.3507E+00  0.1147E+00
    20  0.6800E+01 -0.3281E+01  0.6248E-02  0.2688E-02  0.3603E-06 -0.6510E-02  0.1967E+00  0.4761E+00 -0.7018E-01  0.6557E+01 -0.3614E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.1219E-03  0.9646E-02  0.4989E-09  0.1227E-01  0.1299E-07  0.9641E-02 -0.1164E-01 -0.8248E-02  0.3087E-01 -0.1308E-01  0.2923E-01  0.1008E+00
    21  0.7150E+01 -0.3106E-03  0.6152E-02  0.2846E-02  0.3594E-06 -0.5028E-01  0.1988E+00  0.4907E+00 -0.1961E+00  0.6914E+01 -0.3576E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2043E-02  0.9647E-02  0.5227E-09  0.1307E-01  0.1413E-07  0.9641E-02 -0.3201E-02 -0.9542E-02  0.7342E-01 -0.2862E-01 -0.1693E+00  0.3226E-01
    22  0.7500E+01  0.3280E+01  0.6372E-02  0.3216E-02  0.3977E-06 -0.9482E-01  0.1959E+00  0.6793E+00 -0.6444E-01  0.6694E+01 -0.3327E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4332E-02  0.9647E-02  0.5487E-09  0.1206E-01  0.1319E-07  0.9641E-02 -0.3324E-02 -0.2525E-02  0.3139E-01 -0.1297E+00 -0.1981E-02  0.1249E-01
    23  0.7850E+01 -0.2984E-03  0.6564E-02  0.3590E-02  0.4433E-06 -0.4815E-01  0.1988E+00  0.5381E+00  0.1957E-01  0.6715E+01 -0.3102E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2260E-02  0.9647E-02  0.5828E-09  0.6042E-02  0.1313E-07  0.9645E-02  0.2674E-02  0.1167E-02 -0.6865E-01 -0.7542E-01  0.2336E+00  0.3115E-01
